district,Kode Wilayah,,,regency_code,code
Atsj (Atsy),93,04,02,9304,930402
Atu Lintang,11,04,18,1104,110418
Aur Birugo Tigo Baleh,13,75,03,1375,137503
Awan Rante Karua,73,26,21,7326,732621
Awang,62,13,04,6213,621304
Awangpone,73,08,16,7308,730816
Awayan,63,11,03,6311,631103
Aweida,94,03,22,9403,940322
Aweku,95,04,42,9504,950442
Awina,95,07,21,9507,950721
Awinbon,95,02,18,9502,950218
Awyu,93,04,22,9304,930422
Ayah,33,05,01,3305,330501
Ayamaru,92,10,08,9210,921008
Ayamaru Barat,92,10,21,9210,921021
Ayamaru Jaya,92,10,16,9210,921016
Ayamaru Selatan,92,10,15,9210,921015
Ayamaru Selatan Jaya,92,10,17,9210,921017
Ayamaru Tengah,92,10,20,9210,921020
Ayamaru Timur,92,10,10,9210,921010
Ayamaru Timur Selatan,92,10,18,9210,921018
Ayamaru Utara,92,10,09,9210,921009
Ayamaru Utara Timur,92,10,19,9210,921019
Ayau,92,05,24,9205,920524
Ayip,93,04,18,9304,930418
Ayumnati,95,07,22,9507,950722
Baamang,62,02,05,6202,620205
Babadan,35,02,16,3502,350216
Babah Rot,11,12,06,1112,111206
Babakan,32,09,05,3209,320905
Babakan Ciparay,32,73,03,3273,327303
Babakan Madang,32,01,05,3201,320105
Babakancikao,32,14,12,3214,321412
Babalan,12,05,14,1205,120514
Babar Barat (Pulau Pulau Babar),81,08,04,8108,810804
Babat,35,24,05,3524,352405
Babat Supat,16,06,14,1606,160614
Babat Toman,16,06,06,1606,160606
Babelan,32,16,02,3216,321602
Babirik,63,08,02,6308,630802
Babo,92,06,03,9206,920603
Babul Makmur,11,02,06,1102,110206
Babul Rahmah,11,02,11,1102,110211
Babulu,64,09,03,6409,640903
Babussalam,11,02,04,1102,110204
Bacan,82,04,08,8204,820408
Bacan Barat,82,04,09,8204,820409
Bacan Barat Utara,82,04,14,8204,820414
Bacan Selatan,82,04,17,8204,820417
Bacan Timur,82,04,07,8204,820407
Bacan Timur Selatan,82,04,21,8204,820421
Bacan Timur Tengah,82,04,22,8204,820422
Bacukiki,73,72,01,7372,737201
Bacukiki Barat,73,72,04,7372,737204
Badar,11,02,05,1102,110205
Badas,35,06,26,3506,350626
Badau,19,02,05,1902,190205
Badau,61,06,14,6106,610614
Badegan,35,02,13,3502,350213
Badiri,12,01,15,1201,120115
Bae,33,19,07,3319,331907
Baebunta,73,22,11,7322,732211
Baebunta Selatan,73,22,14,7322,732214
Bagan Sinembah Raya,14,07,17,1407,140717
Bagansinembah (Bagan Sinembah),14,07,05,1407,140705
Bagelen,33,06,04,3306,330604
Bagor,35,18,14,3518,351814
Baguala,81,71,03,8171,817103
Bagun,92,01,44,9201,920144
Bahar Selatan,15,05,10,1505,150510
Bahar Utara,15,05,09,1505,150509
Bahau Hulu,65,02,11,6502,650211
Bahodopi,72,06,10,7206,720610
Bahorok,12,05,01,1205,120501
Bahuga,18,08,05,1808,180805
Baito,74,05,20,7405,740520
Baiturrahman,11,71,01,1171,117101
Baitussalam,11,06,20,1106,110620
Bajawa,53,09,06,5309,530906
Bajawa Utara,53,09,15,5309,530915
Bajeng,73,06,02,7306,730602
Bajeng Barat,73,06,18,7306,730618
Bajenis,12,76,04,1276,127604
Bajo,73,17,04,7317,731704
Bajo Barat,73,17,20,7317,731720
Bajubang,15,04,07,1504,150407
Bajuin,63,01,10,6301,630110
Bakam,19,01,06,1901,190106
Bakarangan,63,05,07,6305,630507
Bakauheni,18,01,21,1801,180121
Baki,33,11,10,3311,331110
Bakongan,11,01,01,1101,110101
Bakongan Timur,11,01,15,1101,110115
Baktiraja (Bakti Raja),12,16,03,1216,121603
Baktiya,11,08,01,1108,110801
Baktiya Barat,11,08,19,1108,110819
Bakumpai,63,04,10,6304,630410
Bakung,35,05,05,3505,350505
Bakung Serumpun,21,04,13,2104,210413
Balaesang,72,03,12,7203,720312
Balaesang Tanjung,72,03,31,7203,720331
Balai,61,03,12,6103,610312
Balai Jaya,14,07,18,1407,140718
Balai Riam,62,08,03,6208,620803
Balanipa,76,04,12,7604,760412
Balantak,72,01,06,7201,720106
Balantak Selatan,72,01,18,7201,720118
Balantak Utara,72,01,19,7201,720119
Balapulang,33,28,04,3328,332804
Balaraja,36,03,01,3603,360301
Baleendah,32,04,32,3204,320432
Balen,35,22,13,3522,352213
Balerejo,35,19,10,3519,351910
Balige,12,12,01,1212,121201
Balik Bukit,18,04,04,1804,180404
Balikpapan Barat,64,71,02,6471,647102
Balikpapan Kota,64,71,06,6471,647106
Balikpapan Selatan,64,71,05,6471,647105
Balikpapan Tengah,64,71,04,6471,647104
Balikpapan Timur,64,71,01,6471,647101
Balikpapan Utara,64,71,03,6471,647103
Balingga,95,07,07,9507,950707
Balingga Barat,95,07,26,9507,950726
Balinggi,72,08,15,7208,720815
Balla,76,03,12,7603,760312
Balocci,73,10,05,7310,731005
Balong,35,02,11,3502,350211
Balongan,32,12,14,3212,321214
Balongbendo,35,15,12,3515,351512
Balongpanggang (Balong Panggang),35,25,02,3525,352502
Balung,35,09,10,3509,350910
Balusu,73,11,07,7311,731107
Balusu,73,26,10,7326,732610
Bambaira,76,01,10,7601,760110
Bambalamotu,76,01,01,7601,760101
Bambang,76,03,11,7603,760311
Bambanglipuro (Bambang Lipuro),34,02,05,3402,340205
Bambel,11,02,03,1102,110203
Bamgi,93,03,13,9303,930313
Bamusbama,92,09,14,9209,920914
Banama Tingang,62,11,04,6211,621104
Banawa,72,03,08,7203,720308
Banawa Selatan,72,03,18,7203,720318
Banawa Tengah,72,03,27,7203,720327
Bancak,33,22,16,3322,332216
Bancar,35,23,04,3523,352304
Banda,81,01,09,8101,810109
Banda Alam,11,03,15,1103,110315
Banda Baro,11,08,26,1108,110826
Banda Mulia,11,16,09,1116,111609
Banda Raya,11,71,07,1171,117107
Banda Sakti,11,73,02,1173,117302
Bandar,35,01,08,3501,350108
Bandar,11,17,04,1117,111704
Bandar,33,25,02,3325,332502
Bandar,12,08,23,1208,120823
Bandar Baru,11,18,06,1118,111806
Bandar Dua,11,18,04,1118,111804
Bandar Huluan,12,08,22,1208,120822
Bandar Khalipah / Khalifah,12,18,06,1218,121806
Bandar Laksamana,14,03,14,1403,140314
Bandar Masilam,12,08,24,1208,120824
Bandar Mataram,18,02,18,1802,180218
Bandar Negeri Semuong,18,06,25,1806,180625
Bandar Negeri Suoh,18,04,23,1804,180423
Bandar Pasir Mandoge,12,09,17,1209,120917
Bandar Petalangan,14,05,12,1405,140512
Bandar Pulau,12,09,15,1209,120915
Bandar Pusaka,11,16,10,1116,111610
Bandar Sei Kijang,14,05,11,1405,140511
Bandar Sribhawono (Bandar Sribawono),18,07,15,1807,180715
Bandar Surabaya,18,02,26,1802,180226
Bandarkedungmulyo (Bandar Kedung Mulyo),35,17,18,3517,351718
Banding Agung,16,09,03,1609,160903
Bandongan,33,08,14,3308,330814
Bandung,36,04,34,3604,360434
Bandung,35,04,17,3504,350417
Bandung Kidul,32,73,21,3273,327321
Bandung Kulon,32,73,15,3273,327315
Bandung Wetan,32,73,09,3273,327309
Bandungan,33,22,20,3322,332220
Bang Haji,17,09,10,1709,170910
Banggae,76,05,01,7605,760501
Banggae Timur,76,05,08,7605,760508
Banggai,72,11,01,7211,721101
Banggai Selatan,72,11,06,7211,721106
Banggai Tengah,72,11,07,7211,721107
Banggai Utara,72,11,02,7211,721102
Bangil,35,14,14,3514,351414
Bangilan,35,23,03,3523,352303
Bangkala,73,04,01,7304,730401
Bangkala Barat,73,04,06,7304,730406
Bangkalan,35,26,01,3526,352601
Bangkelekila,73,26,17,7326,732617
Bangkinang,14,01,15,1401,140115
Bangkinang Kota,14,01,01,1401,140101
Bangko,14,07,02,1407,140702
Bangko,15,02,02,1502,150202
Bangko Barat,15,02,10,1502,150210
Bangko Pusako / Pusaka,14,07,10,1407,140710
Bangkunat (Bengkunat),18,13,11,1813,181311
Bangkurung,72,11,04,7211,721104
Bangli,51,06,02,5106,510602
Bangodua,32,12,06,3212,321206
Bangorejo,35,10,02,3510,351002
Bangsal,35,16,10,3516,351610
Bangsalsari,35,09,09,3509,350909
Bangsri,33,20,08,3320,332008
Bangun Purba,12,07,09,1207,120709
Bangun Purba,14,06,10,1406,140610
Bangun Rejo,18,02,02,1802,180202
Banguntapan,34,02,12,3402,340212
Banjang,63,08,07,6308,630807
Banjar,51,08,04,5108,510804
Banjar,36,01,20,3601,360120
Banjar,32,79,01,3279,327901
Banjar Agung,18,05,08,1805,180508
Banjar Baru,18,05,29,1805,180529
Banjar Margo,18,05,20,1805,180520
Banjaran,32,04,13,3204,320413
Banjaran,32,10,22,3210,321022
Banjarangkan,51,05,02,5105,510502
Banjaranyar,32,07,37,3207,320737
Banjarbaru Selatan (Banjar Baru Selatan),63,72,05,6372,637205
Banjarbaru Utara (Banjar Baru Utara),63,72,04,6372,637204
Banjarejo,33,16,11,3316,331611
Banjarharjo,33,29,17,3329,332917
Banjarmangu,33,04,09,3304,330409
Banjarmasin Barat,63,71,03,6371,637103
Banjarmasin Selatan,63,71,01,6371,637101
Banjarmasin Tengah,63,71,05,6371,637105
Banjarmasin Timur,63,71,02,6371,637102
Banjarmasin Utara,63,71,04,6371,637104
Banjarnegara,33,04,06,3304,330406
Banjarsari,36,02,09,3602,360209
Banjarsari,32,07,18,3207,320718
Banjarsari,33,72,05,3372,337205
Banjarwangi,32,05,23,3205,320523
Banjit,18,08,03,1808,180803
