district,Kode Wilayah,,,regency_code,code
Semboro,35,09,07,3509,350907
Semen,35,06,01,3506,350601
Semendawai Barat,16,08,14,1608,160814
Semendawai Suku III,16,08,08,1608,160808
Semendawai Timur,16,08,15,1608,160815
Semende Darat Laut,16,03,08,1603,160308
Semende Darat Tengah,16,03,09,1603,160309
Semende Darat Ulu,16,03,10,1603,160310
Semidang Aji,16,01,21,1601,160121
Semidang Alas,17,05,04,1705,170504
Semidang Alas Maras,17,05,05,1705,170505
Semidang Gumay / Gumai,17,04,08,1704,170408
Semidang Lagan,17,09,11,1709,170911
Semin,34,03,12,3403,340312
Semitau,61,06,10,6106,610610
Semparuk,61,01,13,6101,610113
Sempol,35,11,19,3511,351119
Sempor,33,05,18,3305,330518
Sempu,35,10,20,3510,351020
Senapelan,14,71,05,1471,147105
Senayang,21,04,03,2104,210403
Sendana,76,05,03,7605,760503
Sendana,73,73,07,7373,737307
Sendang,35,04,07,3504,350407
Sendang Agung,18,02,22,1802,180222
Senduro,35,08,12,3508,350812
Senen,31,71,04,3171,317104
Sengah Temila,61,08,07,6108,610807
Senggi,91,11,03,9111,911103
Senopi,92,09,11,9209,920911
Senori,35,23,05,3523,352305
Sentajo Raya,14,09,14,1409,140914
Sentani,91,03,01,9103,910301
Sentani Barat,91,03,04,9103,910304
Sentani Timur,91,03,02,9103,910302
Sentolo,34,01,06,3401,340106
Senyerang,15,06,13,1506,150613
Sepaku,64,09,04,6409,640904
Sepang (Sepang Simin),62,10,01,6210,621001
Sepatan,36,03,16,3603,360316
Sepatan Timur,36,03,30,3603,360330
Sepauk,61,05,03,6105,610503
Seponti,61,11,05,6111,611105
Sepulu,35,26,08,3526,352608
Seputih Agung,18,02,16,1802,180216
Seputih Banyak,18,02,10,1802,180210
Seputih Mataram,18,02,11,1802,180211
Seputih Raman,18,02,08,1802,180208
Seputih Surabaya,18,02,12,1802,180212
Seradala,95,03,42,9503,950342
Serai Serumpun,15,09,10,1509,150910
Seram Barat,81,06,02,8106,810602
Seram Timur,81,05,02,8105,810502
Seram Utara,81,01,06,8101,810106
Seram Utara Barat,81,01,20,8101,810120
Seram Utara Timur Kobi,81,01,25,8101,810125
Seram Utara Timur Seti,81,01,24,8101,810124
Serambakon,95,02,15,9502,950215
Seranau,62,02,12,6202,620212
Serang,36,73,01,3673,367301
Serang Baru,32,16,21,3216,321621
Serangpanjang,32,13,23,3213,321323
Serasan,21,03,06,2103,210306
Serasan Timur,21,03,19,2103,210319
Serawai,61,05,14,6105,610514
Serba Jadi,12,18,12,1218,121812
Serbajadi,11,03,05,1103,110305
Seremuk,92,04,11,9204,920411
Serengan,33,72,02,3372,337202
Seri Kuala Lobam (Sri),21,01,15,2101,210115
Seribu Riam,62,12,09,6212,621209
Seririt,51,08,02,5108,510802
Serpong,36,74,01,3674,367401
Serpong Utara,36,74,02,3674,367402
Seruway,11,16,04,1116,111604
Seruyan Hilir,62,07,01,6207,620701
Seruyan Hilir Timur,62,07,06,6207,620706
Seruyan Hulu,62,07,05,6207,620705
Seruyan Raya,62,07,07,6207,620707
Seruyan Tengah,62,07,02,6207,620702
Sesayap,65,04,01,6504,650401
Sesayap Hilir,65,04,02,6504,650402
Sesean,73,26,02,7326,732602
Sesean Suloara,73,26,19,7326,732619
Sesenapadang,76,03,08,7603,760308
Sesnuk,93,02,18,9302,930218
Seteluk (Sateluk),52,07,03,5207,520703
Setia,11,12,07,1112,111207
Setia Bhakti (Setia Bakti),11,14,03,1114,111403
Setia Janji,12,09,27,1209,120927
Setiabudi (Setia Budi),31,74,02,3174,317402
Setu,36,74,07,3674,367407
Setu,32,16,18,3216,321618
Seulimeum,11,06,04,1106,110604
Seunagan,11,15,02,1115,111502
Seunagan Timur,11,15,03,1115,111503
Seunuddon (Seunudon),11,08,09,1108,110809
Sewon,34,02,15,3402,340215
Seyegan,34,04,05,3404,340405
Siabu,12,13,06,1213,121306
Siak,14,08,01,1408,140801
Siak Hulu,14,01,06,1401,140106
Siak Kecil,14,03,12,1403,140312
Sianjar Mula Mula (Sianjur),12,17,06,1217,121706
Siantan,21,05,01,2105,210501
Siantan Selatan,21,05,04,2105,210504
Siantan Tengah,21,05,07,2105,210507
Siantan Timur,21,05,03,2105,210503
Siantan Utara,21,05,08,2105,210508
Siantar,12,08,01,1208,120801
Siantar Barat,12,72,02,1272,127202
Siantar Marihat,12,72,05,1272,127205
Siantar Marimbun,12,72,08,1272,127208
Siantar Martoba,12,72,06,1272,127206
Siantar Narumonda,12,12,20,1212,121220
Siantar Selatan,12,72,04,1272,127204
Siantar Sitalasari,12,72,07,1272,127207
Siantar Timur,12,72,01,1272,127201
Siantar Utara,12,72,03,1272,127203
Siatas Barita,12,02,02,1202,120202
Siau Barat,71,09,02,7109,710902
Siau Barat Selatan,71,09,05,7109,710905
Siau Barat Utara,71,09,08,7109,710908
Siau Tengah,71,09,09,7109,710909
Siau Timur,71,09,01,7109,710901
Siau Timur Selatan,71,09,04,7109,710904
Sibabangun,12,01,08,1201,120108
Siberida (Seberida),14,02,06,1402,140206
Siberut Barat,13,09,05,1309,130905
Siberut Barat Daya,13,09,06,1309,130906
Siberut Selatan,13,09,03,1309,130903
Siberut Tengah,13,09,07,1309,130907
Siberut Utara,13,09,04,1309,130904
Sibolangit,12,07,03,1207,120703
Sibolga Kota,12,73,02,1273,127302
Sibolga Sambas,12,73,04,1273,127304
Sibolga Selatan,12,73,03,1273,127303
Sibolga Utara,12,73,01,1273,127301
Siborong-Borong,12,02,09,1202,120209
Sibulue,73,08,08,7308,730808
Sidamanik,12,08,09,1208,120809
Sidamulih,32,18,10,3218,321810
Sidareja,33,01,11,3301,330111
Sidayu,35,25,09,3525,352509
Sidemen,51,07,02,5107,510702
Sidey,92,02,21,9202,920221
Sidikalang,12,11,01,1211,121101
Siding,61,07,12,6107,610712
Sidoan,72,08,23,7208,720823
Sidoarjo,35,15,08,3515,351508
Sidoharjo,33,14,11,3314,331411
Sidoharjo,33,12,14,3312,331214
Sidomukti,33,73,04,3373,337304
Sidomulyo,18,01,07,1801,180107
Sidorejo,35,20,18,3520,352018
Sidorejo,33,73,01,3373,337301
Sidua'ori,12,14,25,1214,121425
Siempat Nempu,12,11,04,1211,121104
Siempat Nempu Hilir,12,11,08,1211,121108
Siempat Nempu Hulu,12,11,07,1211,121107
Siempat Rube,12,15,08,1215,121508
Siepkosi,95,01,20,9501,950120
Sigaluh,33,04,07,3304,330407
Sigi Biromaru,72,10,01,7210,721001
Sigumpar,12,12,19,1212,121219
Sihapas Barumun,12,21,12,1221,122112
Sijamapolang (Sijama Polang),12,16,07,1216,121607
Sijuk,19,02,04,1902,190204
Sijunjung,13,03,04,1303,130304
Sikakap,13,09,09,1309,130909
Sikap Dalam,16,11,08,1611,161108
Sikur,52,03,04,5203,520304
Silaen,12,12,03,1212,121203
Silahisabungan (Silahi Sabungan),12,11,14,1211,121114
Silangkitang,12,22,05,1222,122205
Silat Hilir,61,06,15,6106,610615
Silat Hulu,61,06,16,6106,610616
Silau Laut,12,09,28,1209,120928
Silaut,13,01,15,1301,130115
Silian Raya,71,07,08,7107,710708
Silih Nara,11,04,02,1104,110402
Silima Pungga Pungga,12,11,05,1211,121105
Silimakuta,12,08,25,1208,120825
Silimo,95,03,04,9503,950304
Silinda,12,18,11,1218,121811
Siliragung,35,10,22,3510,351022
Silo,35,09,30,3509,350930
Silo Karno Doga,95,01,30,9501,950130
Silou Kahean,12,08,27,1208,120827
Silungkang,13,73,03,1373,137303
Siluq Ngurai,64,07,17,6407,640717
Siman,35,02,10,3502,350210
Simangambat,12,20,08,1220,122008
Simangumban,12,02,07,1202,120207
Simanindo,12,17,01,1217,121701
Simbang,73,09,09,7309,730909
Simboro (Simboro dan Kepulauan),76,02,12,7602,760212
Simbuang,73,18,09,7318,731809
Simeulue Barat (Simeuleu Barat),11,09,06,1109,110906
Simeulue Cut,11,09,10,1109,110910
Simeulue Tengah (Simeuleu Tengah),11,09,01,1109,110901
Simeulue Timur (Simeuleu Timur),11,09,04,1109,110904
Simo,33,09,13,3309,330913
Simokerto,35,78,11,3578,357811
Simpang,16,09,05,1609,160905
Simpang Alahan Mati,13,08,16,1308,130816
Simpang Dua,61,04,20,6104,610420
Simpang Empat,63,03,08,6303,630308
Simpang Empat,63,10,06,6310,631006
Simpang Empat,12,09,12,1209,120912
Simpang Empat,12,06,12,1206,120612
Simpang Hilir,61,11,02,6111,611102
Simpang Hulu,61,04,08,6104,610408
Simpang Jernih,11,03,20,1103,110320
Simpang Kanan,11,10,02,1110,111002
Simpang Kanan,14,07,11,1407,140711
Simpang Katis,19,04,04,1904,190404
Simpang Kiri,11,75,01,1175,117501
Simpang Kramat (Keramat),11,08,22,1108,110822
Simpang Mamplam,11,11,11,1111,111111
Simpang Pematang,18,11,05,1811,181105
Simpang Pesak,19,06,07,1906,190607
Simpang Raya,72,01,17,7201,720117
Simpang Renggiang,19,06,06,1906,190606
Simpang Rimba,19,03,04,1903,190304
Simpang Teritip,19,05,02,1905,190502
Simpang Tiga,11,06,18,1106,110618
Simpang Tiga,11,07,18,1107,110718
Simpang Ulim,11,03,09,1103,110309
Simpenan,32,02,02,3202,320202
Simpur,63,06,06,6306,630606
Simuk,12,14,28,1214,121428
Sinaboi (Senaboi),14,07,07,1407,140707
Sinak,94,05,06,9405,940506
Sinak Barat,94,05,15,9405,940515
Sinar Peninjauan,16,01,29,1601,160129
Sindang,32,12,16,3212,321216
Sindang,32,10,25,3210,321025
Sindang Beliti Ilir,17,02,23,1702,170223
Sindang Beliti Ulu,17,02,21,1702,170221
Sindang Danau,16,09,16,1609,160916
Sindang Dataran (Sindang Daratan),17,02,22,1702,170222
Sindang Jaya,36,03,29,3603,360329
Sindang Kelingi,17,02,08,1702,170208
Sindangagung (Sindang Agung),32,08,31,3208,320831
Sindangbarang,32,03,21,3203,320321
Sindangkasih,32,07,31,3207,320731
Sindangkerta,32,17,14,3217,321714
Sindangresmi,36,01,31,3601,360131
Sindangwangi,32,10,21,3210,321021
Sindue,72,03,10,7203,720310
Sindue Tobata,72,03,25,7203,720325
Sindue Tombusabora,72,03,24,7203,720324
Sine,35,21,01,3521,352101
Singajaya,32,05,24,3205,320524
Singaparna,32,06,24,3206,320624
Singaran Pati,17,71,09,1771,177109
Singgahan,35,23,07,3523,352307
Singingi,14,09,03,1409,140903
Singingi Hilir,14,09,08,1409,140908
Singkawang Barat,61,72,02,6172,617202
Singkawang Selatan,61,72,05,6172,617205
Singkawang Tengah,61,72,01,6172,617201
Singkawang Timur,61,72,03,6172,617203
Singkawang Utara,61,72,04,6172,617204
Singkep,21,04,01,2104,210401
Singkep Barat,21,04,04,2104,210404
Singkep Pesisir,21,04,06,2104,210406
Singkep Selatan,21,04,09,2104,210409
Singkil,11,10,04,1110,111004
Singkil,71,71,03,7171,717103
Singkil Utara,11,10,10,1110,111010
Singkohor,11,10,13,1110,111013
Singkup,61,04,22,6104,610422
Singkut,15,03,09,1503,150309
Singojuruh,35,10,12,3510,351012
Singorojo,33,24,05,3324,332405
Singosari,35,07,24,3507,350724
Siniu,72,08,17,7208,720817
Sinjai Barat,73,07,01,7307,730701
Sinjai Borong,73,07,07,7307,730707
Sinjai Selatan,73,07,02,7307,730702
Sinjai Tengah,73,07,04,7307,730704
Sinjai Timur,73,07,03,7307,730703
Sinjai Utara,73,07,05,7307,730705
Sinoa,73,03,08,7303,730308
Sinonsayang,71,05,08,7105,710508
Sintang,61,05,01,6105,610501
Sintuak Toboh Gadang,13,05,11,1305,130511
Sinunukan,12,13,22,1213,121322
Siompu,74,15,06,7415,741506
Siompu Barat,74,15,05,7415,741505
Siotapina (Siontapia / Siontapina),74,04,27,7404,740427
Sipahutar,12,02,12,1202,120212
Sipatana,75,71,07,7571,757107
Sipirok,12,03,04,1203,120304
Sipispis,12,18,08,1218,121808
Sipoholon,12,02,04,1202,120204
Sipora Selatan,13,09,02,1309,130902
Sipora Utara,13,09,08,1309,130908
Sir-Sir,81,07,06,8107,810706
Sirah Pulau Padang,16,02,08,1602,160208
Sirampog,33,29,05,3329,332905
Sirandorung,12,01,11,1201,120111
Sirapit (Serapit),12,05,21,1205,120521
Sirenja,72,03,11,7203,720311
Sirets,93,04,17,9304,930417
Sirimau,81,71,02,8171,817102
Siritaun Wida Timur,81,05,14,8105,810514
Siriwo,94,01,06,9401,940106
Siriwo,94,03,07,9403,940307
Sirombu,12,25,02,1225,122502
Sitahuis,12,01,13,1201,120113
Sitelu Tali Urang Jehe (Sitellu),12,15,01,1215,121501
Sitelu Tali Urang Julu (Sitellu),12,15,04,1215,121504
Sitinjau Laut,15,01,04,1501,150104
Sitinjo,12,11,15,1211,121115
Sitio-tio,12,17,09,1217,121709
Sitiung,13,10,04,1310,131004
Sitolu Ori,12,24,04,1224,122404
Situbondo,35,12,07,3512,351207
Situjuah Limo Nagari (Situjuah Lima Nagari),13,07,10,1307,130710
Situraja,32,11,06,3211,321106
Siulak,15,01,16,1501,150116
Siulak Mukai,15,01,18,1501,150118
Siwalalat,81,05,07,8105,810507
Siwalan,33,26,17,3326,332617
Skanto,91,11,05,9111,911105
Slahung,35,02,01,3502,350201
Slawi,33,28,10,3328,332810
Sleman,34,04,13,3404,340413
Sliyeg,32,12,12,3212,321212
Slogohimo,33,12,19,3312,331219
Sluke,33,17,13,3317,331713
Soa,53,09,07,5309,530907
Soba,95,03,16,9503,950316
Sobaham,95,03,43,9503,950343
Sobang,36,02,22,3602,360222
Sobang,36,01,35,3601,360135
Socah,35,26,02,3526,352602
Sodonghilir,32,06,12,3206,320612
Sogae'adu (Sogae Adu / Sogaeadu),12,04,35,1204,120435
Sojol,72,03,14,7203,720314
Sojol Utara,72,03,30,7203,720330
Sokan,61,10,07,6110,611007
Sokaraja,33,02,19,3302,330219
Soko,35,23,11,3523,352311
Sokobanah,35,27,11,3527,352711
Solear,36,03,31,3603,360331
Soloikma,95,03,36,9503,950336
Solokanjeruk (Solokan Jeruk),32,04,34,3204,320434
Solokuro,35,24,15,3524,352415
Solor Barat,53,06,06,5306,530606
Solor Selatan,53,06,19,5306,530619
Solor Timur,53,06,07,5306,530607
Somagede,33,02,09,3302,330209
Somambawa,12,14,26,1214,121426
Somba Opu (Upu),73,06,08,7306,730608
Somolo-Molo (Samolo),12,04,29,1204,120429
Sompak,61,08,13,6108,610813
Sonder,71,02,11,7102,710211
Songgom,33,29,10,3329,332910
Songgon,35,10,19,3510,351019
Sooko,35,16,13,3516,351613
Sooko,35,02,06,3502,350206
Sopai,73,26,08,7326,732608
Soppeng Riaja,73,11,04,7311,731104
Sor Ep,93,04,25,9304,930425
Sorawolio (Sora Walio / Sorowalio),74,72,03,7472,747203
Soreang,73,72,03,7372,737203
Soreang,32,04,37,3204,320437
Sorkam,12,01,02,1201,120102
Sorkam Barat,12,01,10,1201,120110
Soromandi,52,06,15,5206,520615
Sorong,92,01,43,9201,920143
Sorong,92,71,01,9271,927101
Sorong Barat,92,71,03,9271,927103
Sorong Kepulauan,92,71,04,9271,927104
Sorong Kota,92,71,07,9271,927107
Sorong Manoi,92,71,06,9271,927106
Sorong Timur,92,71,02,9271,927102
Sorong Utara,92,71,05,9271,927105
Soropia,74,02,11,7402,740211
Sosa,12,21,08,1221,122108
Sosa Julu,12,21,15,1221,122115
Sosa Timur,12,21,17,1221,122117
Sosoh Buay Rayap,16,01,07,1601,160107
Sosopan,12,21,01,1221,122101
Sosorgadong (Sosor Gadong),12,01,09,1201,120109
Sota,93,01,08,9301,930108
Soug Jaya,92,07,13,9207,920713
Soyo Jaya,72,12,07,7212,721207
Soyoi Mambai,91,15,15,9115,911515
Sragen,33,14,10,3314,331410
Sragi,33,26,10,3326,332610
Sragi,18,01,15,1801,180115
Srandakan,34,02,01,3402,340201
Srengat,35,05,03,3505,350503
Sreseh,35,27,01,3527,352701
Srono,35,10,08,3510,351008
Srumbung,33,08,05,3308,330805
Sruweng,33,05,14,3305,330514
Stabat,12,05,07,1205,120507
STL Ulu Terawas (Suku Tengah Lakitan Ulu Terawas),16,05,10,1605,160510
STM Hilir (Sinembah Tanjung Muda Hilir),12,07,08,1207,120708
STM Hulu (Sinembah Tanjung Muda Hulu),12,07,20,1207,120720
Suak Midai,21,03,22,2103,210322
Suak Tapeh,16,07,16,1607,160716
Suator,93,04,07,9304,930407
Subah,33,25,09,3325,332509
Subah,61,01,10,6101,610110
Subang,32,08,03,3208,320803
Subang,32,13,03,3213,321303
Subi,21,03,09,2103,210309
Suboh,35,12,03,3512,351203
Subur,93,02,15,9302,930215
Sucinaraja,32,05,42,3205,320542
Sudimoro,35,01,12,3501,350112
Sugapa,94,07,01,9407,940701
Sugie Besar,21,02,14,2102,210214
Sugihwaras,35,22,07,3522,352207
Sugio,35,24,12,3524,352412
Suhaid,61,06,22,6106,610622
Suka Bangun,12,01,18,1201,120118
Suka Karya (Sukakarya),16,05,21,1605,160521
Suka Makmue,11,15,06,1115,111506
Sukabumi,18,71,12,1871,187112
Sukabumi,32,02,32,3202,320232
Sukadana,32,07,14,3207,320714
Sukadana,61,11,01,6111,611101
Sukadana,18,07,01,1807,180701
Sukadiri,36,03,10,3603,360310
Sukagumiwang,32,12,27,3212,321227
Sukahaji,32,10,08,3210,321008
Sukahening,32,06,33,3206,320633
Sukajadi,32,73,07,3273,327307
Sukajadi,14,71,01,1471,147101
Sukajaya,32,01,35,3201,320135
Sukajaya,11,72,02,1172,117202
Sukakarya,11,72,01,1172,117201
Sukakarya,32,16,14,3216,321614
Sukalarang,32,02,36,3202,320236
Sukaluyu,32,03,09,3203,320309
Sukamaju,73,22,06,7322,732206
Sukamaju Selatan,73,22,13,7322,732213
Sukamakmue,11,72,03,1172,117203
Sukamakmur,32,01,09,3201,320109
Sukamakmur (Suka Makmur),11,06,06,1106,110606
Sukamantri,32,07,33,3207,320733
Sukamara,62,08,01,6208,620801
Sukamerindu,16,04,29,1604,160429
Sukamulia,52,03,06,5203,520306
Sukamulya,36,03,27,3603,360327
Sukanagara,32,03,14,3203,320314
Sukapura,35,13,01,3513,351301
Sukaraja,17,05,01,1705,170501
Sukaraja,32,01,04,3201,320104
Sukaraja,32,02,33,3202,320233
Sukaraja,32,06,17,3206,320617
Sukarame,32,06,26,3206,320626
Sukarame,18,71,02,1871,187102
Sukarami,16,71,07,1671,167107
Sukaratu,32,06,31,3206,320631
Sukaresik,32,06,39,3206,320639
Sukaresmi,36,01,29,3601,360129
Sukaresmi,32,03,13,3203,320313
Sukaresmi,32,05,21,3205,320521
Sukasada,51,08,05,5108,510805
Sukasari,32,73,01,3273,327301
Sukasari,32,14,15,3214,321415
Sukasari,32,13,24,3213,321324
Sukasari,32,11,12,3211,321112
Sukatani,32,16,15,3216,321615
Sukatani,32,14,05,3214,321405
Sukau,18,04,11,1804,180411
Sukawangi,32,16,03,3216,321603
Sukawati,51,04,01,5104,510401
Sukawening,32,05,15,3205,320515
Sukikai Selatan,94,06,05,9406,940605
Sukmajaya,32,76,05,3276,327605
Sukodadi,35,24,17,3524,352417
Sukodono,35,08,15,3508,350815
Sukodono,35,15,14,3515,351514
Sukodono,33,14,17,3314,331417
Sukoharjo,33,11,04,3311,331104
Sukoharjo,33,07,14,3307,330714
Sukoharjo,18,10,08,1810,181008
Sukolilo,35,78,09,3578,357809
Sukolilo,33,18,01,3318,331801
Sukomanunggal,35,78,27,3578,357827
Sukomoro,35,20,09,3520,352009
Sukomoro,35,18,12,3518,351812
Sukorambi,35,09,15,3509,350915
Sukorame,35,24,01,3524,352401
Sukorejo,35,14,09,3514,351409
Sukorejo,35,02,15,3502,350215
Sukorejo,33,24,03,3324,332403
Sukorejo,35,72,02,3572,357202
Sukosari,35,11,04,3511,351104
Sukosewu,35,22,24,3522,352224
Sukowono,35,09,29,3509,350929
Sukra,32,12,24,3212,321224
Sukun,35,73,04,3573,357304
Sulabesi Barat,82,05,03,8205,820503
Sulabesi Selatan,82,05,09,8205,820509
Sulabesi Tengah,82,05,07,8205,820507
Sulabesi Timur,82,05,08,8205,820508
Sulamu,53,01,07,5301,530107
Sulang,33,17,08,3317,331708
Suli,73,17,03,7317,731703
Suli Barat,73,17,19,7317,731719
Suliki,13,07,01,1307,130701
Suling Tambun,62,07,10,6207,620710
Sultan Daulat,11,75,04,1175,117504
Suluun Tareran,71,05,23,7105,710523
Sumalata,75,05,04,7505,750504
Sumalata Timur,75,05,11,7505,750511
Sumarorong,76,03,06,7603,760306
Sumay,15,09,05,1509,150905
Sumbang,33,02,21,3302,330221
Sumbawa,52,04,08,5204,520408
Sumber,35,13,02,3513,351302
Sumber,32,09,15,3209,320915
Sumber,33,17,01,3317,331701
Sumber Barito,62,12,05,6212,621205
Sumber Harta,16,05,19,1605,160519
Sumber Jaya,18,04,05,1804,180405
Sumber Marga Telang,16,07,18,1607,160718
Sumberasih,35,13,21,3513,351321
Sumberbaru (Sumber Baru),35,09,03,3509,350903
Sumberejo,35,22,12,3522,352212
Sumberejo (Sumber Rejo),18,06,13,1806,180613
Sumbergempol,35,04,10,3504,350410
Sumberjambe (Sumber Jambe),35,09,31,3509,350931
Sumberjaya,32,10,17,3210,321017
Sumberlawang,33,14,15,3314,331415
Sumbermalang,35,12,15,3512,351215
Sumbermanjing Wetan,35,07,04,3507,350704
Sumberpucung,35,07,12,3507,350712
Sumbersari (Sumber Sari),35,09,21,3509,350921
Sumbersuko,35,08,21,3508,350821
Sumberwringin (Sumber Wringin),35,11,18,3511,351118
Sumbul,12,11,02,1211,121102
Sumedang Selatan,32,11,17,3211,321117
Sumedang Utara,32,11,18,3211,321118
Sumo,95,03,51,9503,950351
Sumobito,35,17,11,3517,351711
Sumowono,33,22,09,3322,332209
Sumpiuh,33,02,07,3302,330207
Sumpur Kudus,13,03,09,1303,130309
Sumur,36,01,01,3601,360101
Sumur Bandung,32,73,19,3273,327319
Sumuri (Simuri),92,06,14,9206,920614
Sungai Ambawang,61,12,03,6112,611203
Sungai Apit,14,08,02,1408,140802
Sungai Are,16,09,15,1609,160915
Sungai Aur (Sungaiaur),13,12,09,1312,131209
Sungai Babuat,62,12,08,6212,621208
Sungai Bahar,15,05,07,1505,150507
Sungai Batang,14,04,20,1404,140420
Sungai Beremas (Sei Beremas),13,12,01,1312,131201
Sungai Betung,61,07,14,6107,610714
Sungai Boh,65,02,09,6502,650209
Sungai Bungkal,15,72,08,1572,157208
Sungai Durian (Sungaidurian),63,02,15,6302,630215
Sungai Garingging,13,05,07,1305,130507
Sungai Gelam,15,05,08,1505,150508
Sungai Kakap,61,12,09,6112,611209
Sungai Kanan (Sei),12,22,04,1222,122204
Sungai Keruh,16,06,03,1606,160603
Sungai Kunjang,64,72,06,6472,647206
Sungai Kunyit,61,02,12,6102,610212
Sungai Lala,14,02,11,1402,140211
Sungai Laur,61,04,07,6104,610407
Sungai Lilin,16,06,07,1606,160607
Sungai Limau,13,05,08,1305,130508
Sungai Loban,63,10,03,6310,631003
Sungai Manau,15,02,04,1502,150204
Sungai Mandau,14,08,05,1408,140805
Sungai Mas,11,05,03,1105,110503
Sungai Melayu Rayak,61,04,25,6104,610425
Sungai Menang,16,02,15,1602,160215
Sungai Pagu,13,11,02,1311,131102
Sungai Pandan,63,08,03,6308,630803
Sungai Penuh,15,72,01,1572,157201
Sungai Pinang,63,03,10,6303,630310
Sungai Pinang,64,72,08,6472,647208
Sungai Pinang,16,10,12,1610,161012
Sungai Pinyuh (Sei Pinyuh),61,02,07,6102,610207
Sungai Pua (Puar),13,06,12,1306,130612
Sungai Raya,61,07,01,6107,610701
Sungai Raya,61,12,01,6112,611201
Sungai Raya,63,06,01,6306,630601
Sungai Raya,11,03,19,1103,110319
Sungai Raya Kepulauan,61,07,15,6107,610715
Sungai Rotan,16,03,16,1603,160316
Sungai Rumbai,13,10,03,1310,131003
Sungai Rumbai,17,06,15,1706,170615
Sungai Selan,19,04,03,1904,190403
Sungai Sembilan,14,72,04,1472,147204
Sungai Serut,17,71,08,1771,177108
Sungai Tabuk,63,03,04,6303,630304
Sungai Tabukan,63,08,10,6308,630810
Sungai Tarab,13,04,08,1304,130408
Sungai Tebelian,61,05,20,6105,610520
Sungai Tubu,65,02,15,6502,650215
Sungailiat (Sungai Liat),19,01,01,1901,190101
Sungayang,13,04,07,1304,130407
Sunggal,12,07,23,1207,120723
Sungkai Barat,18,03,21,1803,180321
Sungkai Jaya,18,03,20,1803,180320
Sungkai Selatan,18,03,03,1803,180303
Sungkai Tengah,18,03,18,1803,180318
Sungkai Utara,18,03,08,1803,180308
Sunook,92,01,46,9201,920146
Suntamon,95,03,41,9503,950341
Suoh,18,04,09,1804,180409
Supiori Barat,91,19,05,9119,911905
Supiori Selatan,91,19,01,9119,911901
Supiori Timur,91,19,03,9119,911903
Supiori Utara,91,19,02,9119,911902
Supnin,92,05,23,9205,920523
Suppa,73,15,02,7315,731502
Suradadi (Surodadi),33,28,16,3328,332816
Surade,32,02,24,3202,320224
Suralaga,52,03,13,5203,520313
Suranenggala,32,09,39,3209,320939
Surian,32,11,09,3211,321109
Suro Makmur,11,10,12,1110,111012
Suru Suru,95,03,09,9503,950309
Suru-suru,93,04,08,9304,930408
Suruh,35,03,14,3503,350314
Suruh,33,22,04,3322,332204
Sururey,92,12,04,9212,921204
Susoh,11,12,04,1112,111204
Susua,12,14,09,1214,121409
Susukan,32,09,27,3209,320927
Susukan,33,04,01,3304,330401
Susukan,33,22,03,3322,332203
Susukan Lebak,32,09,08,3209,320908
Susut,51,06,01,5106,510601
Sutera,13,01,08,1301,130108
Suti Semarang,61,07,10,6107,610710
Sutojayan,35,05,12,3505,350512
Suwawa,75,03,03,7503,750303
Suwawa Selatan,75,03,12,7503,750312
Suwawa Tengah,75,03,13,7503,750313
Suwawa Timur,75,03,11,7503,750311
Suwela (Suela),52,03,16,5203,520316
Swandiwe,91,06,15,9106,910615
Syahcame,93,03,11,9303,930311
Syamtalira Aron,11,08,10,1108,110810
Syamtalira Bayu,11,08,11,1108,110811
Syiah Kuala,11,71,04,1171,117104
Syiah Utama,11,17,03,1117,111703
Syujak,92,09,07,9209,920907
T. Jambo Aye (Tanah Jambo Aye),11,08,14,1108,110814
Taba Penanjung,17,09,06,1709,170906
Tabalar,64,03,10,6403,640310
Tabanan,51,02,05,5102,510205
Tabang,76,03,10,7603,760310
Tabang,64,02,12,6402,640212
Tabir,15,02,05,1502,150205
Tabir Barat,15,02,23,1502,150223
Tabir Ilir,15,02,14,1502,150214
Tabir Lintas,15,02,22,1502,150222
Tabir Selatan,15,02,08,1502,150208
Tabir Timur,15,02,15,1502,150215
Tabir Ulu,15,02,07,1502,150207
Tabona,82,08,08,8208,820808
Tabongo,75,01,19,7501,750119
Tabonji,93,01,18,9301,930118
Tabukan,63,04,12,6304,630412
Tabukan Selatan,71,03,15,7103,710315
Tabukan Selatan Tengah,71,03,19,7103,710319
Tabukan Selatan Tenggara,71,03,20,7103,710320
Tabukan Tengah,71,03,14,7103,710314
Tabukan Utara,71,03,08,7103,710308
Tabulahan,76,03,05,7603,760305
Tabundung,53,11,05,5311,531105
Tabunganen,63,04,01,6304,630401
Tadu Raya,11,15,08,1115,111508
Taebenu,53,01,24,5301,530124
Taelarek,95,01,18,9501,950118
Taganombak,94,02,24,9402,940224
Tagime,95,01,27,9501,950127
Tagime,95,04,40,9504,950440
Tagineri,95,04,31,9504,950431
Tagineri,95,01,29,9501,950129
Tagulandang,71,09,03,7109,710903
Tagulandang Selatan,71,09,10,7109,710910
Tagulandang Utara,71,09,06,7109,710906
Tahota,92,11,06,9211,921106
Tahuna,71,03,17,7103,710317
Tahuna Barat,71,03,23,7103,710323
Tahuna Timur,71,03,24,7103,710324
Tahunan,33,20,11,3320,332011
Taige,92,12,06,9212,921206
Tajinan,35,07,15,3507,350715
